Process,Narrative,SME Hazard Type Label,,SME Severity Label
Employee Suggestion,Safety emails shared by OCG should be organized by topic and stored on the department Sharek webpage for easy reference when needed. The emails that are being shared are good summarized versions of the key points of important procedures. Having them,Others,,
Employee Suggestion,I suggest to put announcement speakers inside the SNGL Maintenance shops building in case of emergency and to know if there is fire or gas test outside the plant or real leak. to immediate respond and evacuate.,Safety - fire and explosion,,
QSI Observation,Calibration of PZV (valve tag number 4483464) at the 6in pipeline to HP Flare system is overdue. Test and inspect valve as per requirements of SAEP 319.,None - minor maintenance,,
Near Miss,Oil spill,Safety - contact with chemicals,,2C
Employee Suggestion,"A mechanical damage to the insulation in 20""-MDEA-0926-1SD0P5 line (Rich F-MDEA to E-104 A/B, Train 1) was observed. There is penetration in 2 adjacent spots in the insulation (about 10 cm and 5 cm in length). This line material of construction is 31",None - minor maintenance,,
Employee Suggestion,I suggest to install some life stretchers at NGL1 & NGL2 pipe-rack with main pipe-rack.,None - minor maintenance,,
Employee Suggestion,"the methanol injection tank in shipper pumps are unreachable.Add steps ladder near by the injection tank, to be more safer for the employees when adding the methanol",Safety - contact with chemicals,,
QSI Observation,G-0202 A/B/C Suction line drains not secured by boiler makers or closed,None - minor maintenance,,
Unsafe Condition,BADLY AIR LEAK ON ZV-1482.,None - minor maintenance,,
QSI Observation,SCBA B93-SB-105 Pressure below full,Safety - slip trip and fall,,
Employee Suggestion,we need to install H2S monitor in gas treat train #2 in the fin fan platform.,Safety - contact with chemicals,,
QSI Observation,Lab Mechanical room Exit sign not working for both doors,None - minor maintenance,,1C
Near Miss,plag leak,None - minor maintenance,,
QSI Observation,There are lots of dismentled scaffolding at RG#4 gas cooler area,Safety - slip trip and fall,,
QSI Observation,Old scaffolding with gasket are placed at B92-D-0072 A (Cooling water cartridge filter) site.,None - minor maintenance,,
Employee Suggestion,"in the discharge line of GM-0097A,B,C there is an isolation valve for the pressure gauge. The stem of this valve is pointed in wrong location where a possible of hitting the stem by your back.to change the direction of the valve a quarter turn.",None - minor maintenance,,
QSI Observation,most of utility station need fitting and pluge for drains (B95-US-202/208),None - minor maintenance,,
Near Miss,one missing step on launcher area,Safety - slip trip and fall,,2C
QSI Observation,LOTO was not applied to a breaker in off position in RG1 Substation on a spare breaker at MCC-008.,Safety - electric,,1C
Employee Suggestion,we need to install SCPA in Acid gas compression train #1 in the fin fan platform.,Safety - contact with chemicals,,
QSI Observation,B56-FHR-05 Door dificult to open.,None,,
Employee Suggestion,U-turn in front of security gate inside the plant,Safety - contact with chemicals,,
Employee Suggestion,I suggest to install reflectors on each wind sock at SNGL in order to provide a better vision during the night shift.install reflectors on each wind sock,Safety - contact with chemicals,,
Employee Suggestion,placing stop work authority sign (SWA) inside our operating facility.,Safety - collision,,
Employee Suggestion,To paint a pedestrian Crossing lines on the road between the maintenance Central shop and the MuslaTo paint a pedestrian Crossing lines on the road between the maintenance Central shop and the Musla,Safety - fire and explosion,,
Employee Suggestion,I suggest to install fire extinguisher at Gas treat fin-fan platform,Safety - contact with chemicals,,
Unsafe Condition,CABLE TRAY CLOEST TO MOTOR,Safety - collision,,1C
Unsafe Condition,GROUND CABLE,Safety - slip trip and fall,,
QSI Observation,The downstream drain B/valve of 42ZV-2015 on the discharge of booster pump G-0005 E is passing into the blowdown (Ice formation was noticed on the line),None - minor maintenance,,
QSI Observation,Fix the relief line leakage at B58-G-0089A,None - minor maintenance,,
QSI Observation,CO2 shelter train C fire alarm panel had trouble alarm,Safety - fire and explosion,,
QSI Observation,Logbook inside RG1 substation nor removed or updated.,Safety - electric,,
QSI Observation,OWS south of D-0004 not stanciled,None - minor maintenance,,
Employee Suggestion,While closing monkey ladder drop bar .it?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢s hitting the main ladder .install a rubber material on the drop bar.,Safety - collision,,1C
Unsafe Condition,DRAIN HOLE MISSING COVER,Safety - collision,,
Employee Suggestion,Now the people cross the road to go to the material yard on the other hand there is no official painted line. I suggest to redesign the road line and add the required traffic sings.1- I recommend to but traffic sign to guide the cars. 2- Re locate th,Safety - collision,,
QSI Observation,The structures at CCR main entrance proponent inspection tag are expired.,Safety - fire and explosion,,
Employee Suggestion,I suggest to repaint fire equipment at NGL1&2,None,,1C
QSI Observation,Improve RMU housekeeping,Safety - slip trip and fall,,
QSI Observation,B96-PE-471 CO2 extinguisher inside OME HVAC room have not been checked during the month of Jun and July as showing on the proppant tag..,Safety - fire and explosion,,
Near Miss,Q-0009 Back Wash Sump Cover (manway),None - minor maintenance,,
Unsafe Condition,OIL DRUMS & CHEMICAL DRUMS WERE UNDER D,None,,
Unsafe Condition,HOT OIL DROPPING ON MANIFOLD . NGL1.,Safety - fire and explosion,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Sand around the catch basin,Safety - slip trip and fall,,
QSI Observation,Poor lighting at EDG building.,None - minor maintenance,,
Employee Suggestion,on the R.O building #207 there is no Scott air pack.,Safety - fire and explosion,,1C
Unsafe Condition,INSTAILL JIP CRANE,Safety - collision,,
QSI Observation,No plug on Nitrogen line N-7284 near Propane Compressor B at NGL-1,None - minor maintenance,,
QSI Observation,OWS north of RO BLDG not stanciled,None - minor maintenance,,
QSI Observation,all PIVs has no SAP number,Safety - fire and explosion,,
QSI Observation,"There are 3 abandoned, unreachable, empty wind sock frames located on top of the main pipe rack. Replace them by installing in easy to reach, high and very visible locations such as on a corner of fin fan walkways. For example, next to B92-E-0211.",Safety - contact with chemicals,,
Near Miss,cable tray will fall,Safety - collision,,2C
QSI Observation,Equipment Identification Stenciling is missing from the equipment B91-E-0105 as it showing only ?É¬¢?Ç‚Ç¨?Ç?ìB91-E-?É¬¢?Ç‚Ç¨?Ç?ì due to the new installed cladding.,Others,,
Employee Suggestion,At LP Flare Area we don't have any safety shower or eye wash while we may have a skin contact with a process specially during back wash activity or flashing activity for the transmitters. So I suggest that we should have at least one Safety Shower an,Safety - contact with chemicals,,3C
Employee Suggestion,Investigation report resulting from investigation failures should be organized by Area/Equipment and added to the department Sharek webpage for easy reference. This will assist in organizing a history for specific equipment that can aide in future re,None,,
QSI Observation,Leakage from E-0004 Trim Cooler plugs.,None - minor maintenance,,
Employee Suggestion,I think put bicycle parking near the exit of the main gate.Put bicycle stands to park all bicycles.,Others,,1C
Near Miss,Eathernet plug defective,Safety - electric,,1C
Unsafe Condition,there's cable tray cover near the air compressor K-0011 A is about to fall downdone.,Safety - collision,,3C
Unsafe Condition,PINHOLE AT G-0012A/B,None - minor maintenance,,
Employee Suggestion,the monkey ladder at the top of B91-C-0102 have no guard which may lead to fall from top of the columnmonkey ladder should have guard to prevent fall down,Safety - slip trip and fall,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Clean pumps G-501A/B skid from sand and oil.,None - minor maintenance,,
Near Miss,Wrong trafic sign,Safety - collision,,4C
Unsafe Condition,NAIL ON GROUND.,None - minor maintenance,,
QSI Observation,Building 405 is used as store need to be cleaned and arranged.,None - minor maintenance,,
Near Miss,Lube oil spill,Safety - slip trip and fall,,2C
QSI Observation,B-50-GIB-XFR(T)-702 remove the accumulated sand from the yard,None - minor maintenance,,
QSI Observation,Room # 107 four florescent light not working,None - minor maintenance,,
QSI Observation,"Spectacle blind next to 31-BV-1349, on the 8in pipe to HP Flare system is loose, not installed correctly / the stud and nuts are loose. Review spectacle blinds to ensure proper installation.",None - minor maintenance,,
Unsafe Condition,"On 2/4/2018 at around 10:00 am, I was in SNGL Plant and I noticed that one of the Self Contained Breathing Apparatus (SCBA) cabinets was fully open and the oxygen cylinder was missing. This SCBA cabinet was in Utilities Area, installed in the outside",Others,,
Employee Suggestion,At all shaybah NGL buildings PZVs of water inside it is not visible and between the roof which is was leaking several time on the electrical cable for lamps.I suggest to relocate PZVs of water inside buildings to be a way from electrical cable for la,Safety - collision,,
QSI Observation,2 Pad lock keys (LOTO) are hanged at Maintenance Padlocks bulletin and accessible to anyone.,Others,,1C
QSI Observation,Maintenance shop Exit sign not working,None - minor maintenance,,
QSI Observation,Remove the hose at US # 203 and install the missing plugs.,None - minor maintenance,,
QSI Observation,"7- Stain Steel workshop Load Schedule is required update for (PP-04 , B56-XFR(T) 7-DP-007 & B56-XFR(T) 8-DP-008) in the electrical room.",None - minor maintenance,,
Employee Suggestion,"in general there are some roads inside SNGL plant need to install no entry sign to avoid car accident, there are two roads one near the lab other one near maintenance building",Safety - collision,,
Employee Suggestion,While I was on the bus going to the SNGL plant I note the bus station loaded or carried passengers in the opposite direction of the street and passengers needed to cross the street to reach the buildings in all areas that the bus start form / AREA-4,Safety - collision,,1C
QSI Observation,B93-RG1-PP-056 beside IGC#3 door not closed,None - minor maintenance,,
QSI Observation,B91-G-0004 B Drains are not secured by boiler maker,Safety - fire and explosion,,
